SNAME,CNAME,ACT_DATE,DEACT_DATE,TRACK_SIGN,TOT_HIST,TOT_FRESH,TOT_SIGHT,VEG_CAT,TRANSID,SECTION,TRANSNAME,SITE,LAT_MID,LONG_MID
Lepus californicus,Black Tailed Jackrabbit,7/15/1996,5/31/2013,Tracks,0.000000,1.000000,1.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Scat,16.000000,11.000000,27.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Tracks,0.000000,10.000000,10.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Puma concolor,Cougar,7/15/1996,5/31/2013,Scat,1.000000,0.000000,1.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Canis latrans,Coyote,7/15/1996,5/31/2013,Scat,82.000000,37.000000,119.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Canis latrans,Coyote,7/15/1996,5/31/2013,Tracks,5.000000,65.000000,70.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Scat,1.000000,2.000000,3.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Tracks,0.000000,11.000000,11.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Browse,2.000000,11.000000,13.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Scat,0.000000,1.000000,1.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Tracks,17.000000,102.000000,119.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Didelphis virginiana,Opossum,7/15/1996,5/31/2013,Tracks,0.000000,9.000000,9.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Procyon lotor,Raccoon,7/15/1996,5/31/2013,Scat,3.000000,3.000000,6.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Procyon lotor,Raccoon,7/15/1996,5/31/2013,Tracks,5.000000,51.000000,56.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Den/Bed Site,1.000000,105.000000,106.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Scat,0.000000,3.000000,3.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Tracks,0.000000,18.000000,18.000000,Riparian and Bottomland Habitat,1.000000,1.000000,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
